drug_code,drug_identification_number,mp_formal_name,ntp_formal_name,ntp_type
74243,2257238,LINESSA 28 (desogestrel 100 mcg and estradiol 25 mcg oral tablet with desogestrel 125 mcg and estradiol 25 mcg oral tablet with  desogestrel 150 mcg and ethinyl estradiol 25 mcg oral tablet with lactose oral tablet) ASPEN PHARMA TRADING LIMITED,desogestrel 100 mcg and estradiol 25 mcg oral tablet with desogestrel 125 mcg and estradiol 25 mcg oral tablet with  desogestrel 150 mcg and ethinyl estradiol 25 mcg oral tablet with lactose oral tablet,Comb
75841,2272903,LINESSA 21 (desogestrel 100 mcg and estradiol 25 mcg oral tablet with desogestrel 125 mcg and estradiol 25 mcg oral tablet with desogestrel 150 mcg and ethinyl estradiol 25 mcg oral tablet) ASPEN PHARMA TRADING LIMITED,desogestrel 100 mcg and estradiol 25 mcg oral tablet with desogestrel 125 mcg and estradiol 25 mcg oral tablet with desogestrel 150 mcg and ethinyl estradiol 25 mcg oral tablet,Comb
14355,2042479,MARVELON 28 (desogestrel 150 mcg and ethinyl estradiol 30 mcg oral tablet with lactose oral tablet) MERCK CANADA INC,desogestrel 150 mcg and ethinyl estradiol 30 mcg oral tablet with lactose oral tablet,NA
80272,2317206,APRI 28 (desogestrel 150 mcg and ethinyl estradiol 30 mcg oral tablet with lactose oral tablet) TEVA CANADA LIMITED,desogestrel 150 mcg and ethinyl estradiol 30 mcg oral tablet with lactose oral tablet,NA
88165,2396610,FREYA 28 (desogestrel 150 mcg and ethinyl estradiol 30 mcg oral tablet with lactose oral tablet) MYLAN PHARMACEUTICALS ULC,desogestrel 150 mcg and ethinyl estradiol 30 mcg oral tablet with lactose oral tablet,NA
89491,2410257,MIRVALA 28 (desogestrel 150 mcg and ethinyl estradiol 30 mcg oral tablet with lactose oral tablet) APOTEX INC,desogestrel 150 mcg and ethinyl estradiol 30 mcg oral tablet with lactose oral tablet,NA
90216,2417464,RECLIPSEN 28 (desogestrel 150 mcg and ethinyl estradiol 30 mcg oral tablet with lactose oral tablet) ACTAVIS PHARMA COMPANY,desogestrel 150 mcg and ethinyl estradiol 30 mcg oral tablet with lactose oral tablet,NA
77558,2290308,CYESTRA-35 (cyproterone acetate 2 mg and ethinyl estradiol 35 mcg oral tablet) PALADIN LABS INC,cyproterone acetate 2 mg and ethinyl estradiol 35 mcg oral tablet,NA
79517,2309556,TEVA-CYPROTERONE/ETHINYL ESTRADIOL (cyproterone acetate 2 mg and ethinyl estradiol 35 mcg oral tablet) TEVA CANADA LIMITED,cyproterone acetate 2 mg and ethinyl estradiol 35 mcg oral tablet,NA
90968,2425017,RAN-CYPROTERONE/ETHINYL ESTRADIOL (cyproterone acetate 2 mg and ethinyl estradiol 35 mcg oral tablet) RANBAXY PHARMACEUTICALS CANADA INC.,cyproterone acetate 2 mg and ethinyl estradiol 35 mcg oral tablet,NA
92104,2436736,CLÉO-35 (cyproterone acetate 2 mg and ethinyl estradiol 35 mcg oral tablet) ASPRI PHARMA CANADA INC,cyproterone acetate 2 mg and ethinyl estradiol 35 mcg oral tablet,NA
53444,2233542,DIANE-35 (cyproterone acetate 2 mg and ethinyl estradiol 35 mcg oral tablet) BAYER INC,cyproterone acetate 2 mg and ethinyl estradiol 35 mcg oral tablet,NA
14354,2042487,MARVELON 21 (desogestrel 150 mcg and ethinyl estradiol 30 mcg oral tablet) MERCK CANADA INC,desogestrel 150 mcg and ethinyl estradiol 30 mcg oral tablet,NA
80270,2317192,APRI 21 (desogestrel 150 mcg and ethinyl estradiol 30 mcg oral tablet) TEVA CANADA LIMITED,desogestrel 150 mcg and ethinyl estradiol 30 mcg oral tablet,NA
88154,2396491,FREYA 21 (desogestrel 150 mcg and ethinyl estradiol 30 mcg oral tablet) MYLAN PHARMACEUTICALS ULC,desogestrel 150 mcg and ethinyl estradiol 30 mcg oral tablet,NA
89490,2410249,MIRVALA 21 (desogestrel 150 mcg and ethinyl estradiol 30 mcg oral tablet) APOTEX INC,desogestrel 150 mcg and ethinyl estradiol 30 mcg oral tablet,NA
90541,2420813,RECLIPSEN 21 (desogestrel 150 mcg and ethinyl estradiol 30 mcg oral tablet) ACTAVIS PHARMA COMPANY,desogestrel 150 mcg and ethinyl estradiol 30 mcg oral tablet,NA
80656,2321157,YAZ (drospirenone 3 mg and ethinyl estradiol 20 mcg oral tablet with lactose oral tablet) BAYER INC,drospirenone 3 mg and ethinyl estradiol 20 mcg oral tablet with lactose oral tablet,NA
89999,2415380,MYA (drospirenone 3 mg and ethinyl estradiol 20 mcg oral tablet with lactose oral tablet) APOTEX INC,drospirenone 3 mg and ethinyl estradiol 20 mcg oral tablet with lactose oral tablet,NA
74710,2261723,YASMIN 21 (drospirenone 3 mg and ethinyl estradiol 30 mcg oral tablet) BAYER INC,drospirenone 3 mg and ethinyl estradiol 30 mcg oral tablet,NA
89544,2410788,ZAMINE 21 (drospirenone 3 mg and ethinyl estradiol 30 mcg oral tablet) APOTEX INC,drospirenone 3 mg and ethinyl estradiol 30 mcg oral tablet,NA
87071,2385058,ZARAH 21 (drospirenone 3 mg and ethinyl estradiol 30 mcg oral tablet) COBALT PHARMACEUTICALS COMPANY,drospirenone 3 mg and ethinyl estradiol 30 mcg oral tablet,NA
74711,2261731,YASMIN 28 (drospirenone 3 mg and ethinyl estradiol 30 mcg oral tablet with lactose oral tablet) BAYER INC,drospirenone 3 mg and ethinyl estradiol 30 mcg oral tablet with lactose oral tablet,NA
89545,2410796,ZAMINE 28 (drospirenone 3 mg and ethinyl estradiol 30 mcg oral tablet with lactose oral tablet) APOTEX INC,drospirenone 3 mg and ethinyl estradiol 30 mcg oral tablet with lactose oral tablet,NA
87072,2385066,ZARAH 28 (drospirenone 3 mg and ethinyl estradiol 30 mcg oral tablet with lactose oral tablet) COBALT PHARMACEUTICALS COMPANY,drospirenone 3 mg and ethinyl estradiol 30 mcg oral tablet with lactose oral tablet,NA
73815,2253186,NUVARING (ethinyl estradiol 15 mcg per 24 hours and etonogestrel 120 mcg per 24 hours vaginal delivery system) MERCK CANADA INC,ethinyl estradiol 15 mcg per 24 hours and etonogestrel 120 mcg per 24 hours vaginal delivery system,NA
72637,2248297,EVRA (ethinyl estradiol 35 mcg per 24 hours and norelgestromin 200 mcg per 24 hours transdermal patch) JANSSEN INC,ethinyl estradiol 35 mcg per 24 hours and norelgestromin 200 mcg per 24 hours transdermal patch,NA
83160,2346176,SEASONIQUE (ethinyl estradiol 30 mcg and levonorgestrel 150 mcg oral tablet with ethinyl estradiol 10 mcg oral tablet) TEVA WOMEN'S HEALTH INC,ethinyl estradiol 30 mcg and levonorgestrel 150 mcg oral tablet with ethinyl estradiol 10 mcg oral tablet,Comb
78129,2295946,PORTIA 21 (ethinyl estradiol 30 mcg and levonorgestrel 150 mcg oral tablet) TEVA CANADA LIMITED,ethinyl estradiol 30 mcg and levonorgestrel 150 mcg oral tablet,NA
78130,2295954,PORTIA 28 (ethinyl estradiol 30 mcg and levonorgestrel 150 mcg oral tablet with lactose oral tablet) TEVA CANADA LIMITED,ethinyl estradiol 30 mcg and levonorgestrel 150 mcg oral tablet with lactose oral tablet,NA
78201,2296659,SEASONALE (ethinyl estradiol 30 mcg and levonorgestrel 150 mcg oral tablet with lactose oral tablet) TEVA WOMEN'S HEALTH INC,ethinyl estradiol 30 mcg and levonorgestrel 150 mcg oral tablet with lactose oral tablet,NA
88378,2398869,INDAYO (ethinyl estradiol 30 mcg and levonorgestrel 150 mcg oral tablet with lactose oral tablet) MYLAN PHARMACEUTICALS ULC,ethinyl estradiol 30 mcg and levonorgestrel 150 mcg oral tablet with lactose oral tablet,NA
60269,2236974,ALESSE 21 (ethinyl estradiol 20 mcg and levonorgestrel 100 mcg oral tablet) PFIZER CANADA INC,ethinyl estradiol 20 mcg and levonorgestrel 100 mcg oral tablet,NA
78383,2298538,AVIANE 21 (ethinyl estradiol 20 mcg and levonorgestrel 100 mcg oral tablet) TEVA CANADA LIMITED,ethinyl estradiol 20 mcg and levonorgestrel 100 mcg oral tablet,NA
87345,2387875,ALYSENA 21 (ethinyl estradiol 20 mcg and levonorgestrel 100 mcg oral tablet) APOTEX INC,ethinyl estradiol 20 mcg and levonorgestrel 100 mcg oral tablet,NA
88591,2401185,LUTERA 21 (ethinyl estradiol 20 mcg and levonorgestrel 100 mcg oral tablet) COBALT PHARMACEUTICALS COMPANY,ethinyl estradiol 20 mcg and levonorgestrel 100 mcg oral tablet,NA
60270,2236975,ALESSE 28 (ethinyl estradiol 20 mcg and levonorgestrel 100 mcg oral tablet with lactose oral tablet) PFIZER CANADA INC,ethinyl estradiol 20 mcg and levonorgestrel 100 mcg oral tablet with lactose oral tablet,NA
78384,2298546,AVIANE 28 (ethinyl estradiol 20 mcg and levonorgestrel 100 mcg oral tablet with lactose oral tablet) TEVA CANADA LIMITED,ethinyl estradiol 20 mcg and levonorgestrel 100 mcg oral tablet with lactose oral tablet,NA
87346,2387883,ALYSENA 28 (ethinyl estradiol 20 mcg and levonorgestrel 100 mcg oral tablet with lactose oral tablet) APOTEX INC,ethinyl estradiol 20 mcg and levonorgestrel 100 mcg oral tablet with lactose oral tablet,NA
88593,2401207,LUTERA 28 (ethinyl estradiol 20 mcg and levonorgestrel 100 mcg oral tablet with lactose oral tablet) COBALT PHARMACEUTICALS COMPANY,ethinyl estradiol 20 mcg and levonorgestrel 100 mcg oral tablet with lactose oral tablet,NA
8124,707600,TRIQUILAR 21 (ethinyl estradiol 30 mcg and levonorgestrel 50 mcg oral tablet with ethinyl estradiol 40 mcg and levonorgestrel 750 mcg oral tablet with ethinyl estradiol 30 mcg and levonorgestrel 125 mcg oral tablet) BAYER INC,ethinyl estradiol 30 mcg and levonorgestrel 50 mcg oral tablet with ethinyl estradiol 40 mcg and levonorgestrel 750 mcg oral tablet with ethinyl estradiol 30 mcg and levonorgestrel 125 mcg oral tablet,Comb
8123,707503,TRIQUILAR 28 (ethinyl estradiol 30 mcg and levonorgestrel 50 mcg oral tablet with ethinyl estradiol 40 mcg and levonorgestrel 750 mcg oral tablet with ethinyl estradiol 30 mcg and levonorgestrel 125 mcg oral tablet with lactose oral tablet) BAYER INC,ethinyl estradiol 30 mcg and levonorgestrel 50 mcg oral tablet with ethinyl estradiol 40 mcg and levonorgestrel 750 mcg oral tablet with ethinyl estradiol 30 mcg and levonorgestrel 125 mcg oral tablet with lactose oral tablet,Comb
18754,2042320,MIN-OVRAL 21 (ethinyl estradiol 30 mcg and levonorgestrel 150 mcg oral tablet) PFIZER CANADA INC,ethinyl estradiol 30 mcg and levonorgestrel 150 mcg oral tablet,NA
18755,2042339,MIN-OVRAL 28 (ethinyl estradiol 30 mcg and levonorgestrel 150 mcg oral tablet with lactose oral tablet) PFIZER CANADA INC,ethinyl estradiol 30 mcg and levonorgestrel 150 mcg oral tablet with lactose oral tablet,NA
87265,2387085,OVIMA 21 (ethinyl estradiol 30 mcg and levonorgestrel 150 mcg oral tablet) APOTEX INC,ethinyl estradiol 30 mcg and levonorgestrel 150 mcg oral tablet,NA
87266,2387093,OVIMA 28 (ethinyl estradiol 30 mcg and levonorgestrel 150 mcg oral tablet with lactose oral tablet) APOTEX INC,ethinyl estradiol 30 mcg and levonorgestrel 150 mcg oral tablet with lactose oral tablet,NA
1922,297143,LOESTRIN 1.5/30 (ethinyl estradiol 30 mcg and norethindrone acetate 1.5 mg oral tablet) WARNER CHILCOTT CANADA CO,ethinyl estradiol 30 mcg and norethindrone acetate 1.5 mg oral tablet,NA
2386,353027,LOESTRIN 1.5/30 (ethinyl estradiol 30 mcg and norethindrone acetate 1.5 mg oral tablet with lactose oral tablet) WARNER CHILCOTT CANADA CO,ethinyl estradiol 30 mcg and norethindrone acetate 1.5 mg oral tablet with lactose oral tablet,NA
2255,315966,MINESTRIN 1/20 (ethinyl estradiol 20 mcg and norethindrone acetate 1 mg oral tablet) WARNER CHILCOTT CANADA CO,ethinyl estradiol 20 mcg and norethindrone acetate 1 mg oral tablet,NA
2254,343838,MINESTRIN 1/20 (ethinyl estradiol 20 mcg and norethindrone acetate 1 mg oral tablet with lactose oral tablet) WARNER CHILCOTT CANADA CO,ethinyl estradiol 20 mcg and norethindrone acetate 1 mg oral tablet with lactose oral tablet,NA
