ccdd,top250name,dpd_ingredient,ing_stem,hydrate,ntp_ing,CCDD.Status,comments_do.not.use.commas.or.special.characters,index_num,dpd_ingredient_FR,ing_stem_fr,ntp_ing_fr
Y,,ABACAVIR (ABACAVIR SULFATE),abacavir,false,abacavir (abacavir sulfate),Released,Single and multi-ingredient TMs,1,Abacavir (Sulfate d'abacavir),abacavir,abacavir (sulfate d'abacavir)
Y,,ABATACEPT,abatacept,false,abatacept,Released,,2,Abatacept,abatacept,abatacept
Y,,ABCIXIMAB,abciximab,false,abciximab,Released,,3,Abciximab,abciximab,abciximab
Y,,Abiraterone acetate,abiraterone,false,abiraterone acetate,Released,,4,Acétate d'abiratérone,abiratérone,acétate d'abiratérone
Y,,AbobotulinumtoxinA,abobotulinumtoxinA,false,abobotulinumtoxinA,Released,,5,AbobotulinumtoxineA,abobotulinumtoxineA,abobotulinumtoxineA
Y,,ACAMPROSATE CALCIUM,acamprosate,false,acamprosate calcium,Released,,6,Acamprosate calcique,acamprosate,acamprosate calcique
Y,,ACARBOSE,acarbose,false,acarbose,Released,,7,Acarbose,acarbose,acarbose
Y,ACEBUTOLOL,ACEBUTOLOL (ACEBUTOLOL HYDROCHLORIDE),acebutolol,false,acebutolol (acebutolol hydrochloride),Released,,8,Acébutolol (Chlorhydrate d'acébutolol),acébutolol,acébutolol (chlorhydrate d'acébutolol)
Y,,ACENOCOUMAROL,acenocoumarol,false,acenocoumarol,Released,,9,Acénocoumarol,acénocoumarol,acénocoumarol
Y,ACETAMINOPHEN,ACETAMINOPHEN,acetaminophen,false,acetaminophen,Released,Single and multi-ingredient TMs; Combinations in QA,10,Acétaminophène,acétaminophène,acétaminophène
Y,,ACETAZOLAMIDE,acetazolamide,false,acetazolamide,Released,,11,Acétazolamide,acétazolamide,acétazolamide
Y,,ACETAZOLAMIDE (ACETAZOLAMIDE SODIUM),acetazolamide,false,acetazolamide (acetazolamide sodium),Released,,12,Acétazolamide (Acetazolamide sodique),acétazolamide,acétazolamide (acetazolamide sodique)
Y,,ACETIC ACID,acetic acid,false,acetic acid,No products in scope,,13,Acide acétique,acide acétique,acide acétique
Y,,ACETYLCHOLINE CHLORIDE,acetylcholine,false,acetylcholine chloride,Released,,14,Chlorure d'acétylcholine,acétylcholine,chlorure d'acétylcholine
Y,,ACETYLCYSTEINE,acetylcysteine,false,acetylcysteine,Released,,15,Acétylcystéine,acétylcystéine,acétylcystéine
Y,,ACETYLSALICYLIC ACID,acetylsalicylic acid,false,acetylsalicylic acid,Released,Single and multi-ingredient TMs,16,Acide acétylsalicylique,acide acétylsalicylique,acide acétylsalicylique
Y,,ACITRETIN,acitretin,false,acitretin,Released,,17,Acitrétine,acitrétine,acitrétine
Y,ACLIDINIUM,Aclidinium bromide,aclidinium,false,aclidinium bromide,Released,Single and multi-ingredient TMs,18,Bromure d'aclidinium,aclidinium,bromure d'aclidinium
Y,ACYCLOVIR,ACYCLOVIR,acyclovir,false,acyclovir,Released,Single and multi-ingredient TMs,19,Acyclovir,acyclovir,acyclovir
Y,ACYCLOVIR,ACYCLOVIR (ACYCLOVIR SODIUM),acyclovir,false,acyclovir (acyclovir sodium),Released,,20,Acyclovir (Acyclovir sodique),acyclovir,acyclovir (acyclovir sodique)
Y,,ADALIMUMAB,adalimumab,false,adalimumab,Released,,21,Adalimumab,adalimumab,adalimumab
Y,,ADAPALENE,adapalene,false,adapalene,Released,Single and multi-ingredient TMs,22,Adapalène,adapalène,adapalène
Y,,ADEFOVIR DIPIVOXIL,adefovir,false,adefovir dipivoxil,Released,,23,Adéfovir dipivoxil,adéfovir,adéfovir dipivoxil
,,ADENINE,adenine,false,adenine,Haematology,Not likely to be prescribed,24,Adénine,adénine,adénine
Y,,ADENOSINE,adenosine,false,adenosine,Released,,25,Adénosine,adénosine,adénosine
Y,,Afatinib (Afatinib Dimaleate),afatinib,false,afatinib (afatinib dimaleate),Released,,26,Afatinib (Dimaléate d'Afatinib),afatinib,afatinib (dimaléate d'afatinib)
Y,,Aflibercept,aflibercept,false,aflibercept,Released,,27,Aflibercept,aflibercept,aflibercept
Y,,AGALSIDASE ALFA,agalsidase alfa,false,agalsidase alfa,Released,,28,Agalsidase alfa,agalsidase alfa,agalsidase alfa
Y,,AGALSIDASE BETA,agalsidase beta,false,agalsidase beta,Released,,29,Agalsidase bêta,agalsidase bêta,agalsidase bêta
,,AIR,air,false,air,Medical gas,,30,Air,air,air
,,ALANINE,alanine,false,alanine,TPN,,31,Alanine,alanine,alanine
,,ALBUMIN,albumin,false,albumin,Haematology,,32,Albumine,albumine,albumin
,,ALBUMIN (HUMAN),albumin (human),false,albumin (human),Haematology,,33,Albumine (humaine),albumine (humaine),albumin (human)
Y,,ALCOHOL ANHYDROUS,alcohol anhydrous,false,alcohol anhydrous,Released for CCDD,Single and multi-ingredient TMs; Some multi-ingredient TMs out of scope,34,ALCOOL ANHYDRE,alcool anhydre,alcool anhydre
Y,,ALDESLEUKIN,aldesleukin,false,aldesleukin,Released,,35,Aldesleukine,aldesleukine,aldesleukine
Y,,ALECTINIB (ALECTINIB HYDROCHLORIDE),alectinib,false,alectinib (alectinib hydrochloride),Released,,36,Alectinib (Chlorhydrate d'alectinib),alectinib,alectinib (chlorhydrate d'alectinib)
Y,,ALEMTUZUMAB,alemtuzumab,false,alemtuzumab,Released,,37,Alemtuzumab,alemtuzumab,alemtuzumab
Y,ALENDRONATE,ALENDRONIC ACID (ALENDRONATE SODIUM TRIHYDRATE),alendronic acid,true,alendronic acid (alendronate sodium),Released,Single and multi-ingredient TMs,38,Acide alendronique (Alendronate sodique trihydraté),acide alendronique,acide alendronique (alendronate sodique)
Y,ALENDRONATE,ALENDRONIC ACID (ALENDRONATE SODIUM),alendronic acid,false,alendronic acid (alendronate sodium),Released,Single and multi-ingredient TMs,39,Acide alendronique (Alendronate sodique),acide alendronique,acide alendronique (alendronate sodique)
Y,,ALFACALCIDOL,alfacalcidol,false,alfacalcidol,Released,,40,Alfacalcidol,alfacalcidol,alfacalcidol
Y,,ALFENTANIL (ALFENTANIL HYDROCHLORIDE),alfentanil (alfentanil hydrochloride),false,alfentanil (alfentanil hydrochloride),No live products,,41,Alfentanil (Chlorhydrate d'alfentanil),alfentanil,alfentanil (chlorhydrate d'alfentanil)
Y,ALFUZOSIN,ALFUZOSIN HYDROCHLORIDE,alfuzosin,false,alfuzosin hydrochloride,Released,,42,Chlorhydrate d'alfuzosine,alfuzosin,chlorhydrate d'alfuzosine
Y,,ALGLUCOSIDASE ALFA,alglucosidase alfa,false,alglucosidase alfa,Released,,43,Alglucosidase alfa,alglucosidase alfa,alglucosidase alfa
Y,,ALIROCUMAB,alirocumab,false,alirocumab,Released,,44,Alirocumab,alirocumab,alirocumab
Y,ALISKIREN,ALISKIREN (ALISKIREN FUMARATE),aliskiren,false,aliskiren (aliskiren fumarate),Released,Single and multi-ingredient TMs,45,Aliskirène (Fumarate d'aliskirène),aliskirène,aliskirène (fumarate d'aliskirène)
Y,,ALITRETINOIN,alitretinoin,false,alitretinoin,Released,,46,Alitrétinoïne,alitrétinoïne,alitrétinoïne
Y,,ALLANTOIN,allantoin,false,allantoin,Released,Combination only,47,Allantoïne,allantoïne,allantoïne
